ID,Tweet Text,Sentiment
90,Is there any official merchandise available for the film?,Neutral
91,5 stars. Best movie of the decade for me. So emotional.,Positive
92,I couldn't understand half the dialogues because of the shouting.,Negative
93,Just got out of the theater. It was a decent experience overall.,Neutral
94,PK's energy level is at 200%. He carried the whole movie.,Positive
95,Save your time. Watch the trailer and you've seen the whole movie.,Negative
96,What is the runtime of the movie including the interval?,Neutral
97,I haven't enjoyed a movie this much in years. Pure joy!,Positive
98,The story is just a mashup of three other famous movies.,Negative
99,It’s a good family entertainer for the holiday season.,Neutral
100,The background score will stay in my head for weeks. Epic!,Positive
